Quality	#1 ID	#2 ID	#1 String	#2 String
1	1	1	لكن مصادر أخرى مقربة من المزاد قالت  بأن فيفندي قد أبقى  الباب مفتوحا أمام المزيد من العروض وتأمل أن يرى مقدمي العروض المهتمين في الأصول الفردية كفريق واحد.	لكن مصادر أخرى مقربة من  المزاد قالت  بأن فيفندي قد أبقى الباب مفتوحا لمزيد من العروض في اليوم أو اليومين التاليين .
0	2	2	سيكون الدعم بمثابة ترقية للبرمجيات الحرة التي تسمى WebVPN وذلك للعملاء الحاليين الذين لديهم عقود  دعم .	ستكون الترقية متاحة للتنزيل مجانا للعملاء الحاليين بدعم من شبكة سمارت في شهر ينايرمن عام 2004.
1	3	3	لم يصرح المسؤولون عما إذا كانت القوات الأمريكية عبرت الحدود الى الأراضي السورية ،وشابها غموض عن كيفية تورط حرس الحدود السوري .	لم يصرح مسؤولون أمريكيون عما إذا كانت القوات الأمريكية، التي تعمل لصالح المخابرات، قد عبرت الحدود الى الأراضي السورية ،وشابها غموض حول كيفية تورط الحرس السوري.
0	4	4	أدخلت شركة فيري ساين خدمتها لموقع المستكشف في 15 سبتمبر.	تستعر المعركة حول فيريساين على خدمة الموقع المكتشف منذ ثلاثة أسابيع .
1	5	5	قالت أن دروس مازال محتجزا في السجن، وهو الآن في غرفة العزل .	تم وضع دروس الليلة الماضية في غرفة العزل في السجن نفسه .
0	6	6	توفي أول العاملين في مجال الرعاية الصحية في البلاد بمرض سارس  وهو فلبيني كندي ،الذي أصيب بهذا المرض في المستشفى العام نورث يورك، الموقع الثاني من حيث انتشار المرض .	أصيبت اميلي ، البالغة من العمر51 عاما ، بالسارس ،عندما كانت تعمل كممرضة في المستشفى العام نورث يورك، مركز تفشي المرض الثاني.
1	7	7	وقد سلم زعيمهم، أبو بكر الأزدي، نفسه في شهر حزيران. حيث قتل نائبه في تبادل لإطلاق النار في الآونة الأخيرة مع القوات السعودية .	وقد استسلم قائدهم، أبو بكر الأزدي، في يونيو؛ حيث قتل نائبه في تبادل لإطلاق النار مع القوات السعودية في الآونة الأخيرة.
0	8	8	بعد البيان الافتتاحي فريتاس، أجل ملك مقاطعة المحكمة العليا القاضي تشارلز مرتل عقد المحاكمة إلى ما بعد عطلة عيد الشكر. 	أجل ملك مقاطعة المحكمة العليا القاضي تشارلز ملتر عقد المحاكمة، حتى يوم الإثنين.
0	9	9	نوهت  الصحيفة  أن مسثمري جوجل هي مؤسسات رأسمالية بارزة منها : كلينر بيركنز كوفيلد ، بايرز وسيكويا كابيتال. 	داعمو جوجل في مراحلها الأولى هم :جامعة ستانفورد ومقرها كاليفورنيا، الشركات الرأسمالية كلينر بيركنز وسيكويا كابيتال .
0	10	10	الأول من يوليو هو الذكرى السادسة لعودة هونغ كونغ إلى الحكم الصيني.	طغت الاحتفالات والتجمعات بمناسبة الذكرى السادسة لعودة هونج كونج إلى الصين، في 1 يوليو عام 1997.
1	11	11	أعلنت شركة النخيل  الأربعاء عن خطط للحصول على هاندسبرينغ وهي شركة شقت طريقها عن طريق جيف هوكينز، الذي يعتبره الكثيرون الأب لشركة بالم . 	أعلنت شركة النخيل يوم الأربعاء أنها تعتزم شراء شركة هاندسبرينغ ، الشركة التي تم إنشاؤها من قبل المنشق بالم المؤسس المشارك جيف هوكينز.
1	12	12	حكم  يوم الجمعة ،على الرجل المتهم باستخدام قنابل وهمية للاستيلاء على طائرة كوبية سقطت في كي ويست في أبريل ، بالسجن لمدة 20 عاما 	حكم يوم الجمعة على المهندس المعماري الكوبي  بالسجن 20 عاما لاستخدام قنبلتين يدويتين وهميتين لخطف طائرة ركاب  كانت متجهة من كوبا إلى فلوريدا في شهر ابريل.
1	13	13	لا أريد أن أكون راعيا لها ، ذلك لأنها ليست من اقتراحنا ، ولكن  لن أكون  سلبيا حيالها. 	قال : أنا لا أريد أن أكون راعيا لها ، ذلك لأنها ليست من اقتراحنا ، ولكن من جهة أخرى   لن أرد عليها بطريقة سلبية .
1	14	14	ركنت الحكومة محادثات السلام مع الجبهة مؤخرا على الرف ،والتى تجرى بوساطة ماليزيا، ذلك بعد سلسلة من الهجمات، تشمل ثلاثة تفجيرات، في مينداناو. 	ركنت الحكومة مؤخرا محادثات السلام ، والتى تجرى بوساطة ماليزيا المجاورة على  الرف ، ذلك بعد سلسلة من الهجمات في مينداناو، تشمل ثلاثة تفجيرات قاتلة ، وأنها تلقي باللوم على الجبهة .،
1	15	15	حققت الشركة خلال الفترة من العام الماضي أرباحا قدرها 54,3 مليون دولار، أو 22 سنتا للسهم الواحد . 	كان ذلك ارتفاعا من ربع العام الماضي، عندما ربحت الشركة 54,3 مليون دولار، أو 22 سنتا للسهم الواحد.
0	16	16	انضمت كل من مجتمعات ماساتشوستس للووترتاون، ساجوس وفرامنجهام إلى بوسطن يوم الإثنين .	جنبا إلى جنب مع بوسطن، ستتبع كل من ووترتاون وساجوس إثنين خالي من التدخين .
0	17	17	تم تتبعه إلى أتلانتا حيث ألقي القبض عليه مساء الثلاثاء.	تم اعتقاله في أتلانتا، جورجيا، مساء الإثنين من قبل الشرطة بناء على معلومات سرية .
1	18	18	أطاح جنود إسرائيليون منازل متنقلة فارغة وخزانات للمياه في 10 بؤر استيطانية صغيرة في الضفة الغربية الليلة الماضية ،كجزء من خطة سلام في الشرق الاوسط تدعمها الولايات المتحدة. 	بدأ جنود إسرائيليون بهدم بؤر استيطانية في الضفة الغربية أمس -  وهو التزام إسرائيلي بموجب خطة سلام جديدة في الشرق الاوسط .
1	19	19	لم يعلن الاتحاد بعد أي سلسلة ستكون المستهدفة . 	قالت النقابة أنها ستكشف في وقت لاحق عن السلسلة المستهدفة .
0	20	20	"تخاصوا منها جميعا " هذا ما يقوله  هوارد دافيدوتز ، رئيس شركة دافيدوتزوشركاه، وهي شركة استشارية وطنية متجزئة مقرها مدينة نيويورك .	"بريئة أم لا"، "فقد أتلفت البضائع "هذا ما قاله هوارد دافيتوتز، رئيس شركة دافيدوتزوشركاه، وهي شركة استشارية الوطنية  متجزئة في نيويورك .
0	21	21	تشمل المنتجات المحدثة بوابة برو، بوابة القناة ، بوابة أي مكان ،وبوابة  خدمة التطبيق .	تشمل المنتجات الجديدة من جانب سطح المكتب أحدث إصدارات بوابة القناة وبوابة برو.
0	22	22	من ناحية أخرى كان ديكسون  فئة في الحقل في ميدان السباق العالمي بيكس بيك .	في نهاية المطاف ربح سكوت ديكسون سيارة هوندا إندي  225التي  تبدو سهلة يوم الأحد في ميدان السباق العالمي بيكس بيك .
1	23	23	وقال جيم وليامز، مدير مشروع زيارة الولايات المتحدة : أنه بحلول منتصف شهر نوفمبر، سيتم  أخذ بصمات  وصورالعديد من الركاب القادمين في أتلانتا	وقال جيم وليامز، مدير مشروع زيارة الولايات المتحدة :أنه بحلول منتصف نوفمبر، سيقوم المفتشون  بأخذ بصمات وصور للعديد من الركاب الأجانب القادمين إلى أتلانتا.
0	24	24	قالت السلطات التركية أن جميع المفجرين الانتحاريين كانوا من الأتراك.	تقول أنقرة أن المفجرين الانتحاريين الأربعة جميعهم من الأتراك .
0	25	25	من المتوقع تحقيق أرباح للعمليات التشغيلية في نيسان في حدود 60 إلى 80 سنتا للسهم الواحد.	كوداك تتوقع أرباحا من 5 سنتات إلى 25 سنتا للسهم الواحد في الربع الثالث.
1	26	26	من فلوريدا إلى ولاية ألاسكا، توعد الآلاف من المحتفلين بالضغط من أجل مزيد من الحقوق القانونية، بما في ذلك زواج المثليين .	احتفل الآلاف من الناس بالقرار ، وتوعدوا بالضغط من أجل المزيد من الحقوق القانونية، بما في ذلك زواج المثليين .
0	27	27	قبل ليلة الأحد، أحدثت الحرائق سوادا ب 277،000 فدان، على بعد مئات الأميال بعيدا.	أدت الحرائق الكبرى إلى إشعال 264،000 فدان في بداية الليلة الماضية.
1	28	28	مصر وإسرائيل، وأستراليا هم آخرون لهم نفس الوضع .	الأمم مثل إسرائيل وأستراليا لديهم بالفعل نفس الوضع.
1	29	29	تظهر النتائج في مجلة الجمعية الطبية الأميركية  التي تصدر يوم الأربعاء (مواقع الأخبار).	سيتم نشر النتائج في مجلة الجمعية الطبية الأميركية وذلك في قضية يوم الأربعاء .
1	30	30	إضافة إلى ذلك، فإن مهد h2210 لديه مكان لشحن بطارية ثانية.	مهد لh2200 لديه مكان لإعادة شحن بطارية ثانية.
0	31	31	قال الجيش أن القوات الأمريكية ضربت يوم الإثنين عشرات الأهداف ، أسفرت عن مقتل ستة مقاتلين واعتقال 21 آخرين.	ضربت القوات الأمريكية يوم الإثنين عشرات أهداف ، أسفرت عن مقتل ستة مقاتلين واعتقال 99 آخرين خلال 1،729 دورية و 25 غارة نقذت على مدى 24 ساعة.
1	32	32	أشار واحد من 14 كرديا إلى كلمة "لاجئ" في قاموس  إنجليزي / تركي .	استسهل أحد الرجال إلى قاموس إنجليزي-تركي وأشار إلى كلمة" "لاجئ"
1	33	33	قال السيد هوارد " أن التعاون الوثيق بين وكالات تنفيذ القانون وأجهزة الاستخبارات تكمن في قلب المعركة الجارية ضد الإرهاب".	قال "كان التعاون الوثيق بين وكالات تنفيذ القانون الإقليمية وأجهزة الاستخبارات ، قلب المعركة ضد الإرهاب.
1	34	34	وقعت الجلسة  بعد يوم من  تخصيص وزارة الدفاع الأمريكية للمرة الأولى الضابط، دلاجر، بعدم التصدي للفضيحة	وقعت الجلسة بعد يوم واحد  من إبعاد وزارة الدفاع الأمريكية للمرة الأولى الضابط دلاجر- لفشله في التصدي للفضيحة.
0	35	35	تقول المجموعة أنه في عام 2006 سينتعش السوق بنسبة 29.6 في المئة ، ليحقق مقدار21.3 مليار دولار من المبيعات.	في عام 2006، ستعطي شركة آجا باسيفيك تقريرا عن نمو بنسبة 7.9 في المئة ليصل إلى 81,8 بليون دولار .
1	36	36	قال الكابتن روبرت رمزي من الفرقة المدرعة  الأمريكية الأولى:  أن الشاحنة انفجرت خارج المبنى حوالي الساعة 11:00صباحا ، وأن أحد  الجدران الخارجية للمجمع قد انهارت.	قال الكابتن روبرت رمزي من الفرقة المدرعة  الأمريكية الأولى : أن الشاحنة انفجرت خارج المبنى في حوالي الساعة 11 صباحا.
1	37	37	جاءوا على الرغم مما تسميه ب.أ "الربع الصعب"، التي  قالت أنه يشمل إضرابا غير رسمي في مطار هيثرو.	قالت ب.أ :أن الربع الثاني، الذي شمل إضرابا غير رسمي في مطار هيثرو، كان صعبا
1	38	38	في هذا الخريف الشمالي سيعمل مدربون من الولايات المتحدة مع جنود من أربع دول من شمال أفريقيا ،للقيام بدوريات وجمع المعلومات الاستخبارية.	في وقت لاحق من هذا العام، سترسل القيادة المدربين مع جنود من أربع دول من شمال أفريقيا في مهام دورية لجمع المعلومات الاستخبارية.
1	39	39	ألقت إدارة بوش باللوم على أنصار صدام حسين والمتشددين الإسلاميين الأجانب ،الذين دخلوا العراق لقتال القوات الأمريكية ،في موجة من التفجيرات وهجمات للمسلحين.	ألقت  إدارة بوش باللوم ضد موجة من التفجيرات والهجمات التي يشنها المسلحون على الموالين لصدام والمتشددين الإسلاميين الأجانب الذين دخلوا العراق للقتال ضد القوات الأمريكية.
1	40	40	تبين لاحقا أنه قد كسر فخذه الأيمن والعظام في رسغه الأيمن والكوع.	أكد الأطباء المتجولون لاحقا أنه قد كسر ساقه اليمنى قرب الفخذ ،وأصيب أيضا بكسورفي الرسغ والكوع .
0	41	41	المؤلف هو واحد من العديد من خبراء الدفاع ، الذي من المتوقع أن  يدلي بشهادته .	من المتوقع أن يدلي سبيتزلاحقا بالشهادة للدفاع .
0	42	42	قال الدكتور باتريك بيروكس رئيس جمعية أطباء غرفة الطوارئ : أن "الأرقام أصبحت كارثية"	قال الدكتور باتريك بيلوكس  رئيس جمعية فرنسا لأطباء الطوارئ: "هذا غير مقيول "
1	43	43	مهما كان قد حدث لك عن طريق العقاب ،فهو بالتأكيد أكثر من كاف،هذا ما قاله كوفيللو البالغ من العمر 49 عاما ، الذي شغلت أسرته وأصدقاؤه و مؤيدوه نصف قاعة المحكمة.	قال كوفيللو :"ما حدث لك، يا سيدي، على سبيل العقاب، هو بالتأكيد أكثر من كاف"
